강수분석,,
[검색조건],,
자료구분 : 일,,
자료형태 : 기본,,
지역/지점 : 서울,,
기간 : 20180101~20210630,,
,,
날짜,지점,강수량(mm)
2018.1.1,108,
2018.1.2,108,
2018.1.3,108,
2018.1.4,108,
2018.1.5,108,
2018.1.6,108,
2018.1.7,108,
2018.1.8,108,0.9
2018.1.9,108,0.5
2018.1.10,108,0.3
2018.1.11,108,
2018.1.12,108,0
2018.1.13,108,0.4
2018.1.14,108,
2018.1.15,108,0.2
2018.1.16,108,0
2018.1.17,108,
2018.1.18,108,0
2018.1.19,108,
2018.1.20,108,
2018.1.21,108,
2018.1.22,108,3.3
2018.1.23,108,
2018.1.24,108,
2018.1.25,108,
2018.1.26,108,
2018.1.27,108,
2018.1.28,108,
2018.1.29,108,
2018.1.30,108,2.9
2018.1.31,108,0
2018.2.1,108,
2018.2.2,108,
2018.2.3,108,0.5
2018.2.4,108,
2018.2.5,108,
2018.2.6,108,
2018.2.7,108,
2018.2.8,108,
2018.2.9,108,
2018.2.10,108,
2018.2.11,108,0
2018.2.12,108,0
2018.2.13,108,
2018.2.14,108,
2018.2.15,108,
2018.2.16,108,
2018.2.17,108,
2018.2.18,108,
2018.2.19,108,
2018.2.20,108,
2018.2.21,108,
2018.2.22,108,0.4
2018.2.23,108,3.7
2018.2.24,108,
2018.2.25,108,
2018.2.26,108,
2018.2.27,108,
2018.2.28,108,25
2018.3.1,108,0.5
2018.3.2,108,
2018.3.3,108,0
2018.3.4,108,11.5
2018.3.5,108,3.5
2018.3.6,108,
2018.3.7,108,0.5
2018.3.8,108,4
2018.3.9,108,
2018.3.10,108,
2018.3.11,108,
2018.3.12,108,
2018.3.13,108,
2018.3.14,108,
2018.3.15,108,27
2018.3.16,108,
2018.3.17,108,
2018.3.18,108,0.5
2018.3.19,108,1
2018.3.20,108,
2018.3.21,108,1
2018.3.22,108,
2018.3.23,108,
2018.3.24,108,
2018.3.25,108,
2018.3.26,108,
2018.3.27,108,
2018.3.28,108,
2018.3.29,108,
2018.3.30,108,
2018.3.31,108,
2018.4.1,108,
2018.4.2,108,
2018.4.3,108,0.1
2018.4.4,108,18.5
2018.4.5,108,10.5
2018.4.6,108,6.5
2018.4.7,108,0.2
2018.4.8,108,3
2018.4.9,108,
2018.4.10,108,5
2018.4.11,108,
2018.4.12,108,
2018.4.13,108,
2018.4.14,108,9
2018.4.15,108,
2018.4.16,108,
2018.4.17,108,
2018.4.18,108,
2018.4.19,108,
2018.4.20,108,
2018.4.21,108,
2018.4.22,108,15.5
2018.4.23,108,59
2018.4.24,108,3
2018.4.25,108,
2018.4.26,108,
2018.4.27,108,
2018.4.28,108,
2018.4.29,108,
2018.4.30,108,
2018.5.1,108,0
2018.5.2,108,12
2018.5.3,108,1
2018.5.4,108,
